ward,cluster,cluster_label
Sunkenahalli,1,⭐ Reliable Performers
Jalakanteshwara Nagara,0,🔄 Average Balanced
Radhakrishna Temple Ward,1,⭐ Reliable Performers
Devasandra,2,⚠️ High-Risk Zones
Maruthi Seva Nagar,0,🔄 Average Balanced
Nagapura,1,⭐ Reliable Performers
Sanjaya Nagar,1,⭐ Reliable Performers
Kacharkanahalli,0,🔄 Average Balanced
Subramanya Nagar,1,⭐ Reliable Performers
Ramamurthy Nagara,0,🔄 Average Balanced
Hombegowda Nagara,0,🔄 Average Balanced
Hebbala,1,⭐ Reliable Performers
Ashoka Pillar,0,🔄 Average Balanced
Ganga Nagar,1,⭐ Reliable Performers
Ganesh Mandir ward,1,⭐ Reliable Performers
Arakere,2,⚠️ High-Risk Zones
Dharmaraya Swamy Temple Ward,2,⚠️ High-Risk Zones
Bilekhalli,2,⚠️ High-Risk Zones
Chatrapati Shivaji,2,⚠️ High-Risk Zones
Vijnana Nagar,2,⚠️ High-Risk Zones
Veeramadakari,1,⭐ Reliable Performers
Yediyur,0,🔄 Average Balanced
Varthuru,2,⚠️ High-Risk Zones
New Bayappanahalli,0,🔄 Average Balanced
Kodigehalli,1,⭐ Reliable Performers
Basavanagudi,1,⭐ Reliable Performers
Kaval Bairasandra,0,🔄 Average Balanced
Vidyaranyapura,1,⭐ Reliable Performers
Vasanthpura,1,⭐ Reliable Performers
Shanthi Nagar,0,🔄 Average Balanced
Hagadur,2,⚠️ High-Risk Zones
RBI layout,0,🔄 Average Balanced
K R Puram,2,⚠️ High-Risk Zones
Kempegowda Ward,2,⚠️ High-Risk Zones
Jayamahal,0,🔄 Average Balanced
Jayachamarajendra Nagar,1,⭐ Reliable Performers
Thanisandra,1,⭐ Reliable Performers
Chunchaghatta,0,🔄 Average Balanced
Medahalli,2,⚠️ High-Risk Zones
Ramaswamy Palya,0,🔄 Average Balanced
Girinagar,1,⭐ Reliable Performers
Malleswaram,1,⭐ Reliable Performers
Puttenahalli - Sarakki Lake,0,🔄 Average Balanced
Jakkasandra,2,⚠️ High-Risk Zones
Chamrajapet,1,⭐ Reliable Performers
Yelahanka Satellite Town,1,⭐ Reliable Performers
Garudachar Playa,2,⚠️ High-Risk Zones
Uttarahalli,0,🔄 Average Balanced
Basavanapura,2,⚠️ High-Risk Zones
Begur,2,⚠️ High-Risk Zones
Padmanabha Nagar,1,⭐ Reliable Performers
Neelasandra,0,🔄 Average Balanced
Shettihalli,1,⭐ Reliable Performers
Umamaheshwara Ward,1,⭐ Reliable Performers
Anjanapura,1,⭐ Reliable Performers
Dattatreya Temple,1,⭐ Reliable Performers
Lakkasandra,0,🔄 Average Balanced
Vishwanath Nagenahalli,0,🔄 Average Balanced
Kanneshwara Rama,1,⭐ Reliable Performers
Someshwara Ward,1,⭐ Reliable Performers
HAL Airport,2,⚠️ High-Risk Zones
Kuvempunagar,1,⭐ Reliable Performers
Sudham Nagara,2,⚠️ High-Risk Zones
Katriguppe,1,⭐ Reliable Performers
Someshwara Nagar,2,⚠️ High-Risk Zones
Kumaraswamy Layout,1,⭐ Reliable Performers
Attiguppe,1,⭐ Reliable Performers
Mattikere,1,⭐ Reliable Performers
Dodda Bommasandra,1,⭐ Reliable Performers
Manorayanapalya,0,🔄 Average Balanced
Devarachikkanahalli,2,⚠️ High-Risk Zones
Okalipuram,0,🔄 Average Balanced
Chamundi Nagara,0,🔄 Average Balanced
Gurappanapalya,2,⚠️ High-Risk Zones
Kudlu,2,⚠️ High-Risk Zones
Chokkasandra,0,🔄 Average Balanced
Rajamahal Guttahalli,1,⭐ Reliable Performers
Nalvadi Krishnaraja Wadior Park,1,⭐ Reliable Performers
Bande Mutt,1,⭐ Reliable Performers
Sir M. Vishweshwaraiah,1,⭐ Reliable Performers
Kushal Nagar,0,🔄 Average Balanced
Kammanahalli,0,🔄 Average Balanced
Hanumanth Nagar,1,⭐ Reliable Performers
Sriramamandir,1,⭐ Reliable Performers
Vikram Nagar,1,⭐ Reliable Performers
Tilak Nagar,0,🔄 Average Balanced
Vijinapura,0,🔄 Average Balanced
Marappana Palya,0,🔄 Average Balanced
Atturu Layout,1,⭐ Reliable Performers
Vannarapete,0,🔄 Average Balanced
Gottigere,1,⭐ Reliable Performers
Kadugondanahalli,0,🔄 Average Balanced
Sagayarapuram,0,🔄 Average Balanced
T Dasarahalli,1,⭐ Reliable Performers
Hampi Nagar,1,⭐ Reliable Performers
J P Park,1,⭐ Reliable Performers
Srinagar,1,⭐ Reliable Performers
Hosakerehalli,1,⭐ Reliable Performers
Kengeri,1,⭐ Reliable Performers
Naganathapura,2,⚠️ High-Risk Zones
Bharathi Nagar,0,🔄 Average Balanced
Ullal,1,⭐ Reliable Performers
Gali Anjenaya Temple ward,1,⭐ Reliable Performers
Jaraganahalli,0,🔄 Average Balanced
Vidyapeeta ward,1,⭐ Reliable Performers
Chickpete,2,⚠️ High-Risk Zones
Dr. Raj Kumar Ward,1,⭐ Reliable Performers
Doddagollarahatti,1,⭐ Reliable Performers
Marenahalli,1,⭐ Reliable Performers
Kamakya Nagar,1,⭐ Reliable Performers
Mangammanapalya,2,⚠️ High-Risk Zones
Agaram,0,🔄 Average Balanced
Defence Colony,0,🔄 Average Balanced
Rajaji Nagar,1,⭐ Reliable Performers
Kadugodi,2,⚠️ High-Risk Zones
Kammagondanahalli,1,⭐ Reliable Performers
Chowdeswari Ward,2,⚠️ High-Risk Zones
Nagarabhavi,1,⭐ Reliable Performers
Gayithri Nagar,1,⭐ Reliable Performers
Chanakya,1,⭐ Reliable Performers
Veerabhadranagar,1,⭐ Reliable Performers
Yelachenahalli,0,🔄 Average Balanced
Srinivasa Nagar,1,⭐ Reliable Performers
Bommanahalli,2,⚠️ High-Risk Zones
Vijayanagara Krishnadevaraya,1,⭐ Reliable Performers
Deen Dayalu Ward,1,⭐ Reliable Performers
Banashankari Temple ward,0,🔄 Average Balanced
Shivanagara,1,⭐ Reliable Performers
Mahalakshimpuram,1,⭐ Reliable Performers
Bagalakunte,1,⭐ Reliable Performers
Peenya,1,⭐ Reliable Performers
Basaveshwara Nagar,1,⭐ Reliable Performers
Nagavara,0,🔄 Average Balanced
Kamakshipalya,1,⭐ Reliable Performers
Govindaraja Nagar,1,⭐ Reliable Performers
Maruthi Mandir ward,1,⭐ Reliable Performers
Avalahalli,1,⭐ Reliable Performers
Vidyamanyanagar,1,⭐ Reliable Performers
Hosahalli,1,⭐ Reliable Performers
Shankar Matt,1,⭐ Reliable Performers
Vijayanagar,1,⭐ Reliable Performers
Dodda Bidarakallu,1,⭐ Reliable Performers
Prakash Nagar,1,⭐ Reliable Performers
Nelagadderanahalli,1,⭐ Reliable Performers
Venkateshpura,0,🔄 Average Balanced
Chandra Layout,1,⭐ Reliable Performers
Binnipete,0,🔄 Average Balanced
Agrahara Dasarahalli,1,⭐ Reliable Performers
Shakthi Ganapathi Nagar,1,⭐ Reliable Performers
Cottonpete,2,⚠️ High-Risk Zones
Herohalli,1,⭐ Reliable Performers
Nandini Layout,1,⭐ Reliable Performers
Puneet Rajkumar,1,⭐ Reliable Performers
Ranadheera Kanteerava,1,⭐ Reliable Performers
Rajagopal Nagar,1,⭐ Reliable Performers
Hongasandra,2,⚠️ High-Risk Zones
Dayananda Nagar,1,⭐ Reliable Performers
Azad Nagar,1,⭐ Reliable Performers
Nayandahalli,1,⭐ Reliable Performers
Muneshwara Nagar,0,🔄 Average Balanced
Mudalapalya,1,⭐ Reliable Performers
Mallasandra,1,⭐ Reliable Performers
Jai Maruthinagara,1,⭐ Reliable Performers
Sunkadakatte,1,⭐ Reliable Performers
Veera Sindhura Lakshamana,1,⭐ Reliable Performers
Kaveripura,1,⭐ Reliable Performers
S K Garden,0,🔄 Average Balanced
Hegganahalli,1,⭐ Reliable Performers
Rajeshwari Nagar,1,⭐ Reliable Performers
Vrisabhavathi Nagar,1,⭐ Reliable Performers
Jagajivanaram Nagar,2,⚠️ High-Risk Zones
Chalavadipalya,2,⚠️ High-Risk Zones
Lakshmi Devi Nagar,1,⭐ Reliable Performers
Bapuji Nagar,2,⚠️ High-Risk Zones
Padarayanapura,2,⚠️ High-Risk Zones
Kempapura Agrahara,0,🔄 Average Balanced
Devaraj Urs Nagar,2,⚠️ High-Risk Zones
Devara Jeevanahalli,2,⚠️ High-Risk Zones
